p03um,p05um,p10um,p25um,p50um,p100um,pm10_env,pm25_env,pm100_env
1272,378,82,20,0,0,6,13,13
1272,378,82,20,0,0,6,13,13
1266,378,86,16,0,0,6,12,13
1266,378,86,16,0,0,6,12,13
1320,398,88,10,0,0,7,13,13
1320,398,88,10,0,0,7,13,13
1428,434,108,8,0,0,9,15,15
1428,434,108,8,0,0,9,15,15
1548,468,128,10,0,0,9,17,17
1548,468,128,10,0,0,9,17,17
1452,442,122,16,0,0,7,15,17
1452,442,122,16,0,0,7,15,17
1254,378,116,20,0,0,5,14,16
1254,378,116,20,0,0,5,14,16
1374,414,110,20,0,0,6,15,15
1374,414,110,20,0,0,6,15,15
1488,452,114,16,0,0,9,16,16
1488,452,114,16,0,0,9,16,16
1458,436,112,10,0,0,7,13,14
1458,436,112,10,0,0,7,13,14
1398,414,108,18,0,0,7,14,14
1434,422,106,22,0,0,7,15,15
1710,462,116,36,2,2,8,19,20
1710,462,116,36,2,2,8,19,20
1794,482,104,18,2,2,9,16,17
1794,482,104,18,2,2,9,16,17
1512,444,100,10,0,0,8,14,14
1512,444,100,10,0,0,8,14,14
1362,414,84,10,0,0,8,13,14
1362,414,84,10,0,0,7,12,13
1434,438,88,8,0,0,8,12,13
1434,438,88,8,0,0,8,12,13
1356,418,108,12,2,2,7,13,15
1356,418,108,12,2,2,7,13,15
1290,400,110,18,2,2,6,14,16
1290,400,110,18,2,2,7,15,17
1542,462,102,10,0,0,9,15,15
1542,462,102,10,0,0,9,15,15
1494,434,86,8,0,0,8,14,14
1494,434,86,8,0,0,8,14,14
1500,430,100,14,0,0,8,15,15
1500,430,100,14,0,0,8,15,15
1500,428,106,10,0,0,8,15,15
1500,428,106,10,0,0,8,15,15
1362,412,82,12,0,0,8,14,14
1362,412,82,12,0,0,8,14,14
1500,454,66,12,0,0,9,13,14
1500,454,66,12,0,0,8,12,13
1368,416,74,10,0,0,8,13,13
1368,416,74,10,0,0,8,13,13
1254,396,88,12,2,0,7,13,14
1254,396,88,12,2,0,7,13,14
1488,462,102,18,2,0,9,16,17
1488,462,102,18,2,0,9,16,17
1488,454,86,16,0,0,9,15,15
1488,454,86,16,0,0,9,15,15
1404,434,76,12,0,0,9,14,14
1458,452,84,14,0,0,9,15,15
1770,450,140,38,2,0,8,19,21
1926,478,148,38,2,0,8,20,22
2172,566,154,32,0,0,10,22,22
2232,578,158,28,0,0,10,22,22
2154,572,148,24,0,0,9,19,19
2058,544,144,22,0,0,9,18,18
1686,476,146,30,2,2,8,20,22
1764,498,160,32,2,2,8,21,23
2094,546,146,36,0,0,10,20,23
2094,546,146,36,0,0,10,20,23
2280,582,126,18,2,0,10,16,19
2280,582,126,18,2,0,11,17,20
