p03um,p05um,p10um,p25um,p50um,p100um,pm10_env,pm25_env,pm100_env
1428,432,96,22,0,0,7,15,15
1428,432,96,22,0,0,7,15,15
1308,386,104,16,0,0,6,13,13
1308,386,104,16,0,0,6,13,13
1380,418,130,24,2,2,7,17,19
1380,418,130,24,2,2,7,17,19
1308,400,138,22,4,2,6,16,19
1308,400,138,22,4,2,6,16,19
1146,354,108,22,4,0,6,14,16
1146,354,108,22,4,0,5,13,15
1392,438,108,16,2,0,7,14,16
1392,438,108,16,2,0,8,15,17
1476,460,116,20,0,0,8,16,17
1476,460,116,20,0,0,8,16,17
1398,418,120,22,2,0,7,16,18
1398,418,120,22,2,0,7,16,18
1452,454,122,34,4,2,7,18,20
1452,454,122,34,4,2,7,18,20
1482,450,108,30,4,2,8,17,20
1482,450,108,30,4,2,8,17,20
1326,404,112,20,2,2,7,15,16
1326,404,112,20,2,2,7,15,16
1230,386,88,14,0,0,7,12,12
1230,386,88,14,0,0,7,12,12
1308,408,90,22,2,2,8,15,17
1308,408,90,22,2,2,8,15,17
1470,444,118,20,2,2,7,15,18
1470,444,118,20,2,2,8,16,19
1392,430,148,14,2,0,6,15,16
1464,450,150,16,2,0,7,16,17
1572,468,142,28,4,2,7,18,21
1572,468,142,28,4,2,7,18,21
1416,424,128,22,4,2,7,15,18
1416,424,128,22,4,2,7,15,18
1500,460,112,12,2,2,7,13,16
1500,460,112,12,2,2,7,13,16
1392,428,110,14,2,2,6,14,15
1392,428,110,14,2,2,6,14,15
1218,370,120,10,0,0,7,13,14
1218,370,120,10,0,0,6,12,13
1302,388,108,8,0,0,7,11,12
1302,388,108,8,0,0,7,11,12
1284,388,74,10,0,0,7,11,11
1284,388,74,10,0,0,7,11,11
1332,396,78,12,2,2,7,11,13
1332,396,78,12,2,2,7,11,13
1440,410,98,8,2,2,8,13,15
1440,410,98,8,2,2,8,13,15
1488,442,132,8,0,0,9,16,16
1488,442,132,8,0,0,9,16,16
1458,434,136,16,0,0,8,17,18
1458,434,136,16,0,0,8,17,18
1254,366,94,14,0,0,7,13,14
1254,366,94,14,0,0,7,13,14
1122,340,90,10,2,2,6,12,13
1122,340,90,10,2,2,6,12,13
1134,338,92,6,2,2,6,11,13
1134,338,92,6,2,2,6,11,13
1224,364,82,6,0,0,7,12,12
1224,364,82,6,0,0,7,12,12
1428,442,94,14,2,0,9,14,16
1428,442,94,14,2,0,9,14,16
1524,468,114,16,2,0,9,16,18
1524,468,114,16,2,0,9,16,18
1518,454,108,12,0,0,8,15,16
1518,454,108,12,0,0,8,15,16
1392,416,104,14,0,0,7,14,15
1392,416,104,14,0,0,7,14,15
1374,414,116,12,0,0,8,15,15
1374,414,116,12,0,0,8,15,15
1458,438,132,16,2,2,9,16,17
1404,418,132,22,2,2,8,16,18
1446,440,112,42,2,2,7,17,21
1392,420,96,34,2,2,6,16,18
1356,420,106,20,2,2,8,15,17
1344,418,112,18,2,2,8,15,17
1188,366,96,6,0,0,7,12,12
1182,366,100,4,0,0,7,12,12
1176,374,122,38,0,0,6,19,19
1182,372,126,38,0,0,6,19,19
1188,358,130,30,2,2,6,17,18
1188,358,130,30,2,2,5,16,17
1206,364,104,16,0,0,7,14,14
1206,364,104,16,0,0,7,14,14
1344,414,104,16,0,0,7,15,15
1344,414,104,16,0,0,7,15,15
1380,428,116,12,0,0,7,14,15
1398,432,118,14,2,2,7,14,16
1332,420,124,18,4,2,6,14,18
1284,410,118,18,4,2,6,13,17
1302,412,104,16,4,2,7,14,17
1326,420,108,22,4,0,7,15,18
1392,416,90,14,2,0,7,14,15
1350,398,86,12,2,0,7,13,15
1272,404,110,28,0,0,7,17,17
1230,392,112,26,0,0,6,16,17
1344,418,120,20,0,0,7,16,18
1344,418,120,20,0,0,7,16,18
1446,442,122,10,0,0,8,16,16
1446,442,122,10,0,0,8,16,16
1428,422,120,14,2,0,8,15,17
1428,422,120,14,2,0,8,15,17
1482,424,112,16,2,0,8,15,17
1482,424,112,16,2,0,8,15,17
1320,382,86,20,2,0,7,14,15
1218,350,74,24,2,0,7,14,15
1218,350,74,24,2,0,7,14,15
1218,356,90,16,4,2,7,13,15
1218,358,96,16,4,2,6,13,15
1206,356,94,10,2,2,6,12,13
1206,356,94,10,2,2,6,12,13
1170,350,82,14,2,0,6,12,13
1170,350,82,14,2,0,6,12,13
1308,394,102,26,2,0,7,16,18
1308,394,102,26,2,0,7,16,18
1506,448,116,24,0,0,7,16,17
1506,448,116,24,0,0,7,16,17
1248,372,98,20,2,2,6,14,16
1248,372,98,20,2,2,6,14,16
1302,392,110,30,4,2,5,13,19
1302,392,110,30,4,2,5,13,19
1440,440,124,24,2,0,8,15,18
1440,440,124,24,2,0,8,15,18
1422,448,118,38,0,0,8,19,20
1446,454,116,34,0,0,8,19,20
1398,440,140,22,0,0,8,18,18
1398,440,140,22,0,0,8,18,18
1332,426,136,20,0,0,7,18,18
1332,426,136,20,0,0,7,18,18
1350,408,120,26,0,0,7,16,18
1380,418,120,30,0,0,7,17,18
1368,422,104,34,0,0,8,17,18
1404,432,110,34,0,0,8,18,19
1386,418,94,26,2,2,8,16,18
1386,424,92,24,2,2,8,16,18
1260,384,98,14,2,2,7,14,15
1194,366,90,12,2,2,6,12,14
1230,388,100,4,0,0,7,12,12
1374,438,108,6,0,0,8,14,14
1470,460,140,40,4,2,9,19,23
1458,456,144,42,4,2,8,20,24
1338,410,132,32,6,2,7,16,21
1338,410,132,32,6,2,7,16,21
1344,426,110,20,4,2,8,15,18
1344,426,110,20,4,2,8,15,18
1422,440,108,10,0,0,8,14,15
1422,440,108,10,0,0,8,14,15
1290,388,124,12,0,0,7,14,15
1290,388,124,12,0,0,7,14,15
1422,430,136,22,0,0,7,17,18
1422,430,136,22,0,0,7,17,18
1476,450,130,30,6,2,8,17,22
1476,450,130,30,6,2,8,17,22
1296,400,114,24,8,2,7,15,19
1296,400,114,24,8,2,7,15,19
1428,434,110,12,0,0,8,15,15
1464,448,122,14,0,0,8,17,17
1422,436,138,24,0,0,8,18,18
1422,436,138,24,0,0,8,18,18
1530,472,140,42,2,2,9,21,24
1530,472,140,42,2,2,9,21,24
1560,472,146,32,2,2,8,19,22
1560,472,146,32,2,2,8,19,22
1704,522,138,40,2,0,9,22,24
1698,520,138,42,2,0,9,22,24
1428,434,122,32,0,0,7,19,19
1440,438,120,28,0,0,7,18,18
1584,480,118,18,2,0,8,17,18
1584,480,118,18,2,0,8,17,18
1500,468,132,30,0,0,8,20,21
1434,456,140,34,0,0,8,21,21
1272,384,118,32,0,0,7,17,18
1272,384,118,32,0,0,7,17,18
1530,462,128,28,6,4,9,17,22
1530,462,128,28,6,4,9,17,22
1368,416,100,32,2,0,7,17,19
1368,416,100,32,2,0,7,17,19
1278,384,82,22,0,0,7,14,14
1278,384,82,22,0,0,7,14,14
1374,422,94,6,2,2,8,13,14
1374,422,94,6,2,2,8,13,14
1590,494,140,10,2,2,9,16,18
1590,494,140,10,2,2,9,16,18
1446,432,110,8,0,0,8,14,14
1446,432,110,8,0,0,7,13,13
1512,440,84,12,2,0,7,13,14
1512,440,84,12,2,0,7,13,14
1734,510,104,18,2,0,9,16,17
1734,510,104,18,2,0,9,16,17
1686,504,98,8,0,0,10,15,15
1686,504,98,8,0,0,11,16,16
1644,496,102,8,2,0,10,15,17
1644,496,102,8,2,0,10,15,17
1518,452,102,10,2,0,8,14,16
1518,452,102,10,2,0,8,14,16
1566,462,104,14,0,0,9,15,15
1566,462,104,14,0,0,9,15,15
1548,472,116,14,0,0,10,16,16
1548,472,116,14,0,0,10,16,16
1374,420,110,12,0,0,8,14,16
1374,420,110,12,0,0,8,14,16
1452,436,102,20,0,0,8,16,17
1452,436,102,20,0,0,8,16,17
1530,470,148,30,2,2,9,19,21
1536,466,150,34,2,2,9,20,21
1296,384,102,30,0,0,6,16,17
1296,384,102,30,0,0,6,16,17
1200,352,90,20,2,2,6,12,15
1200,352,90,20,2,2,6,12,15
1314,394,90,16,2,2,7,13,15
1314,394,90,16,2,2,7,13,15
1386,408,94,14,0,0,8,14,15
1386,408,94,14,0,0,8,14,15
1392,418,108,20,0,0,7,15,16
1422,424,112,24,0,0,7,16,17
1614,488,144,28,2,2,9,19,22
1560,474,146,28,2,2,9,19,21
1566,470,116,16,2,2,9,16,18
1452,436,114,14,2,2,8,15,17
1578,472,160,40,4,2,8,20,25
1452,446,164,40,2,0,7,21,24
1446,442,138,28,2,0,8,19,20
1446,442,138,28,2,0,8,19,20
1374,420,132,28,2,0,7,17,19
1344,412,112,22,0,0,8,16,17
1374,426,108,18,0,0,8,16,16
1320,414,110,16,0,0,8,14,15
1320,414,110,16,0,0,8,14,15
1272,396,106,20,4,2,8,13,17
1272,396,106,20,4,2,8,13,17
1158,358,100,14,4,2,6,12,15
1158,358,100,14,4,2,6,12,15
1242,368,94,14,0,0,6,13,14
1242,368,94,14,0,0,6,13,14
1386,428,132,34,0,0,7,20,20
1386,428,132,34,0,0,7,20,20
1398,412,116,24,0,0,8,17,18
1326,388,104,24,0,0,7,16,17
1248,370,80,24,2,2,6,13,15
1248,370,80,24,2,2,6,13,15
1152,340,78,24,2,2,5,13,15
1152,340,78,24,2,2,5,13,15
1236,380,88,18,0,0,6,13,14
1236,380,88,18,0,0,6,13,14
1362,422,96,14,0,0,7,14,15
1536,468,96,16,0,0,8,16,16
1512,466,122,32,2,2,7,17,19
1404,428,122,28,2,2,7,15,18
1530,472,122,20,2,2,9,17,19
1458,446,128,22,4,2,8,16,20
1488,464,140,16,4,2,9,16,20
1428,444,134,20,4,2,8,16,20
1242,372,122,18,4,0,7,13,17
1224,368,112,12,2,0,7,12,14
1260,370,100,18,2,0,6,13,15
1260,370,100,18,2,0,6,13,15
1332,408,112,18,0,0,6,15,16
1332,408,112,18,0,0,6,15,16
1494,454,92,12,0,0,8,14,16
1494,454,92,12,0,0,8,14,16
1326,392,72,12,0,0,8,13,13
1272,376,76,16,0,0,8,13,13
1590,500,140,44,4,4,8,20,24
1572,484,132,30,4,4,9,19,22
1572,484,132,30,4,4,9,19,22
1230,372,108,12,0,0,5,13,13
1254,388,114,14,0,0,6,14,14
1596,480,122,42,4,0,7,19,22
1542,462,116,42,4,0,8,20,23
1230,354,94,40,2,0,6,15,18
1266,368,94,40,2,0,6,15,19
1236,374,80,22,2,0,6,12,15
1260,378,88,22,4,0,7,12,16
1164,368,82,6,2,0,7,11,13
1128,354,82,6,2,0,6,10,13
1446,436,134,28,2,0,7,18,20
1482,446,140,30,2,0,7,19,21
