p03um,p05um,p10um,p25um,p50um,p100um,pm10_env,pm25_env,pm100_env
918,276,48,8,0,0,4,8,8
918,276,48,8,0,0,4,8,8
948,278,38,10,0,0,4,8,8
948,278,38,10,0,0,4,8,8
972,282,40,10,0,0,4,8,8
936,270,44,10,0,0,4,8,8
954,276,42,8,0,0,6,8,8
954,276,42,8,0,0,6,8,8
972,280,54,2,0,0,5,7,7
972,280,54,2,0,0,5,7,7
918,268,58,0,0,0,4,6,6
930,272,60,0,0,0,4,6,6
1026,306,68,0,0,0,6,8,8
1026,306,68,0,0,0,6,8,8
1020,310,70,2,0,0,5,8,8
1020,310,70,2,0,0,5,8,8
1104,336,78,4,0,0,6,10,10
1104,336,78,4,0,0,6,10,10
1068,330,76,6,0,0,6,11,11
1074,334,82,6,0,0,6,11,11
1098,344,82,6,0,0,5,11,11
1098,344,82,6,0,0,5,11,11
1104,352,82,4,0,0,5,10,10
1104,352,82,4,0,0,5,10,10
948,304,70,4,0,0,5,10,10
924,292,64,2,0,0,5,9,9
888,276,58,4,0,0,5,9,9
888,276,58,4,0,0,5,9,9
834,254,46,2,0,0,3,6,6
834,254,46,2,0,0,3,6,6
882,268,52,4,0,0,4,8,8
858,260,48,4,0,0,4,8,8
882,272,52,4,0,0,5,8,8
882,272,52,4,0,0,5,8,8
918,286,60,2,0,0,5,8,8
918,286,60,2,0,0,5,8,8
870,266,64,2,0,0,4,7,7
870,266,64,2,0,0,4,7,7
942,298,74,2,0,0,4,8,8
942,298,74,2,0,0,4,8,8
900,274,66,4,2,0,5,8,9
900,274,66,4,2,0,5,8,9
966,296,66,6,2,0,5,9,10
1014,320,72,6,2,0,6,10,11
948,290,64,6,2,0,5,8,9
912,276,54,8,2,0,4,8,9
1002,298,64,8,0,0,4,8,8
1002,298,64,8,0,0,5,9,9
1086,320,72,10,0,0,5,10,10
1086,320,72,10,0,0,5,10,10
954,274,68,10,0,0,3,8,8
954,274,68,10,0,0,4,9,9
996,292,78,8,0,0,4,9,9
966,284,72,8,0,0,3,9,9
990,310,72,6,0,0,4,9,9
990,310,72,6,0,0,4,9,9
996,314,72,8,0,0,4,9,9
996,314,72,8,0,0,4,9,9
990,312,62,4,0,0,4,8,8
1008,316,62,6,0,0,4,9,9
1050,326,60,6,0,0,5,9,9
1050,326,60,6,0,0,5,9,9
1002,310,56,6,0,0,4,8,8
1002,310,56,6,0,0,4,8,8
1098,338,56,6,0,0,5,9,9
1122,348,58,6,0,0,6,9,9
1056,330,58,4,0,0,6,9,9
1056,330,58,4,0,0,6,9,9
942,290,52,4,0,0,5,8,8
942,290,52,4,0,0,5,8,8
888,274,48,2,0,0,5,8,8
870,266,42,2,0,0,5,7,7
858,264,44,2,0,0,5,7,7
876,274,42,4,0,0,5,8,8
954,292,54,6,0,0,5,9,9
