p03um,p05um,p10um,p25um,p50um,p100um,pm10_env,pm25_env,pm100_env
1458,332,52,2,0,0,4,7,7
1320,316,46,0,0,0,5,6,6
1302,322,52,4,0,0,5,7,7
1302,322,52,4,0,0,5,7,7
1248,308,46,4,0,0,6,8,8
1248,308,46,4,0,0,6,8,8
1230,310,54,4,0,0,6,8,8
1230,310,54,4,0,0,6,8,8
762,230,52,4,0,0,4,7,7
762,234,54,4,2,0,4,6,8
846,258,60,8,2,0,5,8,9
846,258,60,8,2,0,5,8,9
1038,308,74,22,2,0,5,12,13
1056,320,78,26,2,0,5,12,13
1002,306,66,26,0,0,5,13,13
1002,306,66,26,0,0,5,13,13
1044,312,68,20,0,0,4,11,11
1044,312,68,20,0,0,5,12,12
984,300,64,12,0,0,4,10,10
912,276,58,10,0,0,4,9,9
852,262,50,6,0,0,4,7,7
792,242,46,4,0,0,3,6,6
840,252,54,6,0,0,3,7,7
840,252,54,6,0,0,3,7,7
894,266,60,6,0,0,5,8,8
894,266,60,6,0,0,5,8,8
876,266,60,6,0,0,5,8,8
930,276,58,6,0,0,5,8,8
1032,302,64,10,2,0,4,8,10
1032,302,64,10,2,0,4,8,10
846,252,38,4,2,0,4,5,7
846,252,38,4,2,0,4,5,7
864,260,42,4,2,0,4,6,7
876,262,44,6,2,0,4,6,8
804,242,52,6,2,0,4,7,8
804,242,52,6,2,0,4,7,8
816,248,52,6,0,0,4,8,8
816,248,52,6,0,0,4,8,8
786,234,58,6,0,0,4,7,7
768,228,56,8,0,0,4,7,7
774,224,44,6,0,0,4,7,7
774,224,44,6,0,0,4,7,7
744,218,48,8,0,0,3,7,7
744,218,48,8,0,0,3,7,7
726,220,50,10,0,0,4,8,8
726,220,50,10,0,0,4,8,8
864,262,56,10,0,0,5,9,9
888,274,62,12,0,0,5,9,10
882,272,60,10,0,0,4,8,8
870,264,54,10,0,0,5,8,9
906,272,58,10,0,0,5,9,9
906,272,58,10,0,0,5,9,9
816,240,48,8,0,0,3,6,7
816,240,48,8,0,0,3,6,7
690,204,46,8,0,0,2,5,5
702,210,44,8,0,0,3,6,6
744,226,44,10,0,0,4,7,7
744,226,44,10,0,0,4,7,7
774,236,46,10,0,0,4,8,8
774,236,46,10,0,0,4,8,8
846,254,48,8,0,0,4,8,8
792,240,42,4,0,0,4,7,7
846,250,48,4,0,0,3,6,6
846,250,48,4,0,0,3,6,6
738,210,42,2,0,0,2,4,4
738,210,42,2,0,0,2,4,4
642,180,42,2,0,0,2,4,4
618,180,44,4,0,0,2,4,4
654,188,48,4,0,0,3,6,6
654,188,48,4,0,0,3,6,6
660,192,46,2,0,0,3,5,5
660,192,46,2,0,0,3,5,5
744,226,52,2,0,0,2,5,5
768,234,52,2,0,0,3,5,5
816,242,60,0,0,0,3,5,5
816,242,60,0,0,0,3,5,5
918,276,68,4,2,2,4,6,8
918,276,68,4,2,2,4,6,8
792,238,64,8,2,2,3,6,8
792,238,64,8,2,2,3,6,8
756,222,52,10,2,2,4,6,9
744,218,46,10,2,2,3,6,8
750,226,46,12,2,2,4,7,9
750,226,46,12,2,2,4,7,9
594,176,36,8,0,0,1,4,5
594,176,36,8,0,0,2,5,6
666,196,38,4,0,0,3,6,6
672,204,48,8,0,0,3,7,7
690,210,56,6,0,0,2,7,7
690,210,56,6,0,0,2,7,7
