p03um,p05um,p10um,p25um,p50um,p100um,pm10_env,pm25_env,pm100_env
426,126,30,4,2,0,2,4,5
456,134,32,4,2,0,2,4,5
444,132,28,4,2,0,2,3,4
444,132,28,4,2,0,2,3,4
456,136,36,2,0,0,2,4,4
456,136,36,2,0,0,2,4,4
450,140,32,2,0,0,2,4,4
474,148,36,2,0,0,2,4,4
510,156,46,0,0,0,2,4,4
510,156,46,0,0,0,2,4,4
540,164,44,0,0,0,2,5,5
516,156,40,2,0,0,2,5,5
498,146,30,2,0,0,2,4,4
498,146,30,2,0,0,2,4,4
504,138,26,4,2,0,2,3,5
504,138,26,4,2,0,2,3,5
432,120,18,4,2,0,2,3,4
408,114,16,4,2,0,2,2,3
426,120,18,2,2,0,2,2,3
426,120,18,2,2,0,2,2,3
408,122,26,2,2,0,1,3,4
408,122,26,2,2,0,1,3,4
468,138,22,2,0,0,2,3,3
468,138,22,2,0,0,2,3,3
468,134,18,2,0,0,2,3,3
450,128,18,2,0,0,2,3,3
426,122,12,2,0,0,2,3,3
426,122,12,2,0,0,2,3,3
384,110,8,2,0,0,2,2,2
366,106,12,2,0,0,1,2,2
390,118,16,4,0,0,2,2,3
390,118,16,4,0,0,2,2,3
492,156,24,4,0,0,2,4,4
492,156,24,4,0,0,2,4,4
534,170,30,6,0,0,3,5,5
540,174,32,6,0,0,3,5,5
522,166,28,4,0,0,3,4,4
522,166,28,4,0,0,3,4,4
426,132,30,4,0,0,2,4,4
426,132,30,4,0,0,2,4,4
372,114,28,4,0,0,1,3,3
378,116,22,4,2,0,1,2,3
396,122,20,4,2,0,1,2,4
396,122,20,4,2,0,1,2,4
468,144,26,6,2,0,1,2,4
468,144,26,6,2,0,1,2,4
522,162,26,6,2,0,2,3,5
522,162,26,6,2,0,2,4,5
546,168,32,6,0,0,3,4,5
546,168,32,6,0,0,3,4,5
516,150,28,4,0,0,2,4,4
516,150,28,4,0,0,2,4,4
492,142,26,4,0,0,2,4,4
480,140,26,2,0,0,2,4,4
528,154,28,4,2,0,2,4,5
528,154,28,4,2,0,2,4,5
474,150,32,2,2,0,2,4,5
474,150,32,2,2,0,2,4,5
528,168,30,2,2,0,3,4,5
564,174,34,4,2,0,3,4,6
630,194,34,6,2,0,2,4,6
630,194,34,6,2,0,2,4,6
636,196,28,4,0,0,2,4,4
636,196,28,4,0,0,3,5,5
798,238,32,4,0,0,3,5,5
798,236,34,4,0,0,3,5,6
756,232,36,2,0,0,3,5,5
756,232,36,2,0,0,3,5,5
738,226,38,6,0,0,3,5,5
738,226,38,6,0,0,4,6,6
690,210,38,6,0,0,3,6,6
564,176,32,6,0,0,3,5,5
492,156,28,8,0,0,2,5,5
492,156,28,8,0,0,2,5,5
426,134,26,6,0,0,2,4,4
426,134,26,6,0,0,2,4,4
480,148,30,2,0,0,2,4,4
510,158,32,2,0,0,2,4,4
552,172,40,2,0,0,3,5,5
552,172,40,2,0,0,3,5,5
612,192,50,2,0,0,3,6,6
612,192,50,2,0,0,3,6,6
588,182,44,2,0,0,3,5,5
588,182,44,2,0,0,3,5,5
540,166,40,4,0,0,3,5,5
