p03um,p05um,p10um,p25um,p50um,p100um,pm10_env,pm25_env,pm100_env
81,62,0,0,0,0,0,0,0
79,61,0,0,0,0,0,0,0
77,59,0,0,0,0,0,0,0
76,57,0,0,0,0,0,0,0
74,54,0,0,0,0,0,0,0
72,51,0,0,0,0,0,0,0
72,50,0,0,0,0,0,0,0
72,50,0,0,0,0,0,0,0
72,50,0,0,0,0,0,0,0
71,49,0,0,0,0,0,0,0
71,48,0,0,0,0,0,0,0
70,46,0,0,0,0,0,0,0
68,44,0,0,0,0,0,0,0
66,43,0,0,0,0,0,0,0
65,43,0,0,0,0,0,0,0
64,43,0,0,0,0,0,0,0
62,42,0,0,0,0,0,0,0
63,43,0,0,0,0,0,0,0
64,44,0,0,0,0,0,0,0
65,45,0,0,0,0,0,0,0
66,47,0,0,0,0,0,0,0
67,49,0,0,0,0,0,0,0
69,52,0,0,0,0,0,0,1
72,56,0,0,0,0,0,0,1
74,59,0,0,0,0,0,0,1
76,63,0,0,0,0,0,0,2
78,67,0,0,0,0,0,0,2
78,69,0,0,0,0,0,0,2
79,72,0,0,0,0,0,0,2
82,77,0,0,0,0,0,0,3
85,80,0,0,0,0,0,0,3
88,82,0,0,0,0,0,0,1
89,82,0,0,0,0,0,0,1
88,81,0,0,0,0,0,0,1
89,82,0,0,0,0,0,0,1
90,82,0,0,0,0,0,0,1
91,82,0,0,0,0,0,0,0
92,82,0,0,0,0,0,0,0
93,82,0,0,0,0,0,0,0
93,81,0,0,0,0,0,0,0
92,80,0,0,0,0,0,0,1
90,79,0,0,0,0,0,0,0
89,79,0,0,0,0,0,0,0
88,78,0,0,0,0,0,0,0
86,76,0,0,0,0,0,0,0
85,75,0,0,0,0,0,0,0
84,74,0,0,0,0,0,0,0
84,73,0,0,0,0,0,0,0
84,72,0,0,0,0,0,0,0
84,71,0,0,0,0,0,0,0
84,70,0,0,0,0,0,0,0
86,70,0,0,0,0,0,0,0
89,71,0,0,0,0,0,0,0
92,72,0,0,0,0,0,0,0
95,73,0,0,0,0,0,0,0
96,72,0,0,0,0,0,0,0
98,72,0,0,0,0,0,0,0
98,71,0,0,0,0,0,0,1
97,69,0,0,0,0,0,0,1
98,68,0,0,0,0,0,0,1
99,68,0,0,0,0,0,0,1
98,68,0,0,0,0,0,0,1
96,67,0,0,0,0,0,0,1
94,66,0,0,0,0,0,0,2
91,64,0,0,0,0,0,0,1
90,64,0,0,0,0,0,0,1
88,63,0,0,0,0,0,0,0
88,64,0,0,0,0,0,0,0
89,66,0,0,0,0,0,0,0
87,67,0,0,0,0,0,0,0
86,68,0,0,0,0,0,0,0
88,71,0,0,0,0,0,0,0
90,74,0,0,0,0,0,0,0
92,78,0,0,0,0,0,0,0
94,82,0,0,0,0,0,0,0
95,85,0,0,0,0,0,0,0
95,87,0,0,0,0,0,0,0
93,87,0,0,0,0,0,0,0
90,86,0,0,0,0,0,0,0
87,84,0,0,0,0,0,0,0
85,83,0,0,0,0,0,0,0
80,79,0,0,0,0,0,0,0
75,75,0,0,0,0,0,0,0
71,71,0,0,0,0,0,0,0
68,67,0,0,0,0,0,0,0
66,63,0,0,0,0,0,0,0
65,61,0,0,0,0,0,0,0
66,60,0,0,0,0,0,0,0
68,60,0,0,0,0,0,0,0
72,61,0,0,0,0,0,0,0
74,60,0,0,0,0,0,0,0
78,61,0,0,0,0,0,0,0
82,62,0,0,0,0,0,0,0
86,63,0,0,0,0,0,0,0
90,65,0,0,0,0,0,0,1
93,67,0,0,0,0,0,0,1
95,67,0,0,0,0,0,0,1
95,66,0,0,0,0,0,0,1
95,64,0,0,0,0,0,0,1
94,62,0,0,0,0,0,0,1
93,61,0,0,0,0,0,0,1
92,60,0,0,0,0,0,0,1
92,60,0,0,0,0,0,0,1
92,60,0,0,0,0,0,0,0
92,60,0,0,0,0,0,0,0
91,60,0,0,0,0,0,0,1
91,61,0,0,0,0,0,0,2
92,63,0,0,0,0,0,0,2
92,65,0,0,0,0,0,0,2
92,67,0,0,0,0,0,0,2
93,69,0,0,0,0,0,0,2
94,70,0,0,0,0,0,0,2
95,71,0,0,0,0,0,0,2
97,73,0,0,0,0,0,0,2
99,75,0,0,0,0,0,0,1
102,77,0,0,0,0,0,0,1
104,78,0,0,0,0,0,0,0
105,79,0,0,0,0,0,0,1
106,80,0,0,0,0,0,0,1
107,81,0,0,0,0,0,0,1
108,82,0,0,0,0,0,0,1
107,82,0,0,0,0,0,0,1
104,80,0,0,0,0,0,0,1
99,77,0,0,0,0,0,0,1
93,73,0,0,0,0,0,0,1
87,69,0,0,0,0,0,0,0
83,67,0,0,0,0,0,0,0
80,65,0,0,0,0,0,0,0
78,64,0,0,0,0,0,0,0
76,63,0,0,0,0,0,0,0
75,63,0,0,0,0,0,0,0
77,66,1,0,0,0,0,0,0
79,69,2,0,0,0,0,0,0
81,71,2,0,0,0,0,0,0
83,73,2,0,0,0,0,0,0
